source_sheet,raw_name,vessel_name,name_key,type_prefix,length_ft,loa_ft,draft_ft,operator,contacts,notes,flags
Yachts,Tug Long Anchor 170',Tug Long Anchor,tug long anchor,Tug,170,"","","",Capt. Lee Fairweather | jamie.quill@example.com | Cell: 555-0153,Short visit only,short_visit
Yachts,M/Y CORAL WIND 40',M/Y CORAL WIND,my coral wind,M/Y,40,"","","",Capt. Kai Calloway | blake.underhill@example.com | Capt. Jordan Whitlock | Capt. Hayden Yardley | Cell: 555-0130,Pending insurance paperwork,insurance_pending
Yachts,M/Y Green Beacon 145',M/Y Green Beacon,my green beacon,M/Y,145,"","","",Capt. Sage Vance | Cell: 555-0166,"",""
Yachts,M/V Long Wind 40',M/V Long Wind,mv long wind,M/V,40,"","","",alex.oakes@example.com,"",""
Yachts,R/V Swift Reef 170',R/V Swift Reef,rv swift reef,R/V,170,"","","",Capt. Marley Whitlock,"",""
Yachts,Barge Wild Horizon 52',Barge Wild Horizon,barge wild horizon,Barge,52,"","","",casey.whitlock@example.com | Cell: 555-0188,"",""
Yachts,R/V Salt Drift 85',R/V Salt Drift,rv salt drift,R/V,85,"","","",Cell: 555-0102 | marley.vance@example.com,"",""
Yachts,OSV Silver Harbor 46',OSV Silver Harbor,osv silver harbor,OSV,46,"","","",Capt. Skyler Norwood | elliot.garland@example.com | Cell: 555-0161,"",""
Yachts,R/V Long Voyager 100',R/V Long Voyager,rv long voyager,R/V,100,"","","","","",no_contact
Yachts,R/V Iron Wind 46',R/V Iron Wind,rv iron wind,R/V,46,"","","",Cell: 555-0115 | hayden.everly@example.com,"",""
Yachts,M/V Wild Sextant 100',M/V Wild Sextant,mv wild sextant,M/V,100,"","","","","",no_contact
Yachts,Barge Salt Ledge 52',Barge Salt Ledge,barge salt ledge,Barge,52,"","","",dana.jarvis@example.com | Cell: 555-0166,"",""
Yachts,S/V Wild Harbor 65',S/V Wild Harbor,sv wild harbor,S/V,65,"","","","","",no_contact
Yachts,M/Y Wild Skua 40',M/Y Wild Skua,my wild skua,M/Y,40,"","","",marley.vance@example.com | Cell: 555-0192,"",""
Yachts,M/V Swift Sextant 72',M/V Swift Sextant,mv swift sextant,M/V,72,"","",Lakeshore Research Group,Capt. Jamie Garland | noel.quill@example.com | Cell: 555-0160,Will raft alongside if needed | No overnight crew | Pending insurance paperwork | Short visit only,"rafts_ok,no_overnight_crew,insurance_pending,short_visit"
